	t	x	y
	524	4.25103e+06	18016.3
	525	4.23394e+06	17986
	526	4.21698e+06	17955.4
	527	4.20015e+06	17924.6
	528	4.18346e+06	17893.5
	529	4.16689e+06	17862.1
	530	4.15046e+06	17830.4
	531	4.13415e+06	17798.5
	532	4.11798e+06	17766.4
	533	4.10195e+06	17734.1
	534	4.08604e+06	17701.5
	535	4.07027e+06	17668.8
	536	4.05464e+06	17635.8
	537	4.03914e+06	17602.7
	538	4.02377e+06	17569.4
	539	4.00854e+06	17535.9
	540	3.99344e+06	17502.2
	541	3.97848e+06	17468.4
	542	3.96365e+06	17434.4
	543	3.94896e+06	17400.3
	544	3.93441e+06	17366.1
	545	3.91999e+06	17331.7
	546	3.90571e+06	17297.3
	547	3.89157e+06	17262.7
	548	3.87757e+06	17228
	549	3.8637e+06	17193.2
	550	3.84998e+06	17158.4
	551	3.83639e+06	17123.4
	552	3.82295e+06	17088.4
	553	3.80964e+06	17053.4
	554	3.79648e+06	17018.2
	555	3.78346e+06	16983
	556	3.77058e+06	16947.8
	557	3.75784e+06	16912.5
	558	3.74524e+06	16877.2
	559	3.73279e+06	16841.9
	560	3.72048e+06	16806.5
	561	3.70832e+06	16771.1
	562	3.69631e+06	16735.7
	563	3.68444e+06	16700.3
	564	3.67271e+06	16665
	565	3.66114e+06	16629.6
	566	3.64971e+06	16594.2
	567	3.63843e+06	16558.9
	568	3.6273e+06	16523.5
	569	3.61632e+06	16488.2
	570	3.6055e+06	16453
	571	3.59482e+06	16417.8
	572	3.5843e+06	16382.6
	573	3.57393e+06	16347.5
	574	3.56372e+06	16312.4
	575	3.55367e+06	16277.4
	576	3.54377e+06	16242.5
	577	3.53403e+06	16207.6
	578	3.52445e+06	16172.8
	579	3.51503e+06	16138.1
	580	3.50577e+06	16103.5
	581	3.49668e+06	16068.9
	582	3.48774e+06	16034.5
	583	3.47898e+06	16000.1
	584	3.47038e+06	15965.9
	585	3.46195e+06	15931.7
	586	3.45369e+06	15897.7
	587	3.4456e+06	15863.8
	588	3.43768e+06	15830
	589	3.42994e+06	15796.4
	590	3.42237e+06	15762.9
	591	3.41498e+06	15729.5
	592	3.40777e+06	15696.2
	593	3.40074e+06	15663.1
	594	3.39389e+06	15630.1
	595	3.38722e+06	15597.3
	596	3.38074e+06	15564.7
	597	3.37445e+06	15532.2
	598	3.36835e+06	15499.8
	599	3.36244e+06	15467.7
	600	3.35672e+06	15435.7
	601	3.3512e+06	15403.9
	602	3.34588e+06	15372.2
	603	3.34076e+06	15340.8
	604	3.33584e+06	15309.5
	605	3.33113e+06	15278.5
	606	3.32662e+06	15247.6
	607	3.32232e+06	15217
	608	3.31823e+06	15186.5
	609	3.31436e+06	15156.3
	610	3.31071e+06	15126.2
	611	3.30727e+06	15096.4
	612	3.30405e+06	15066.8
	613	3.30106e+06	15037.5
	614	3.2983e+06	15008.3
	615	3.29577e+06	14979.4
	616	3.29347e+06	14950.8
	617	3.2914e+06	14922.4
	618	3.28958e+06	14894.2
	619	3.28799e+06	14866.3
	620	3.28665e+06	14838.7
	621	3.28556e+06	14811.3
	622	3.28472e+06	14784.2
	623	3.28413e+06	14757.4
	624	3.2838e+06	14730.8
	625	3.28372e+06	14704.5
	626	3.28391e+06	14678.5
	627	3.28437e+06	14652.8
	628	3.28509e+06	14627.4
	629	3.28609e+06	14602.3
	630	3.28736e+06	14577.5
	631	3.28891e+06	14553
	632	3.29075e+06	14528.8
	633	3.29287e+06	14504.9
	634	3.29527e+06	14481.3
	635	3.29797e+06	14458.1
	636	3.30097e+06	14435.2
	637	3.30426e+06	14412.7
	638	3.30786e+06	14390.5
	639	3.31176e+06	14368.6
	640	3.31596e+06	14347.1
	641	3.32048e+06	14326
	642	3.32531e+06	14305.2
	643	3.33046e+06	14284.8
	644	3.33594e+06	14264.8
	645	3.34173e+06	14245.2
	646	3.34785e+06	14225.9
	647	3.3543e+06	14207
	648	3.36108e+06	14188.5
	649	3.3682e+06	14170.5
	650	3.37565e+06	14152.8
	651	3.38345e+06	14135.6
	652	3.39158e+06	14118.7
	653	3.40006e+06	14102.3
	654	3.40889e+06	14086.3
	655	3.41806e+06	14070.8
	656	3.42759e+06	14055.7
	657	3.43747e+06	14041
	658	3.4477e+06	14026.8
	659	3.45829e+06	14013.1
	660	3.46923e+06	13999.8
	661	3.48053e+06	13987
	662	3.49219e+06	13974.7
	663	3.50421e+06	13962.8
	664	3.51659e+06	13951.5
	665	3.52932e+06	13940.6
	666	3.54242e+06	13930.3
	667	3.55588e+06	13920.4
	668	3.56969e+06	13911
	669	3.58387e+06	13902.2
	670	3.5984e+06	13893.9
	671	3.61328e+06	13886.1
	672	3.62852e+06	13878.9
	673	3.64411e+06	13872.1
	674	3.66005e+06	13866
	675	3.67634e+06	13860.3
	676	3.69297e+06	13855.3
	677	3.70994e+06	13850.8
	678	3.72725e+06	13846.8
	679	3.7449e+06	13843.4
	680	3.76287e+06	13840.6
	681	3.78117e+06	13838.4
	682	3.79978e+06	13836.8
	683	3.81871e+06	13835.7
	684	3.83795e+06	13835.3
	685	3.85749e+06	13835.4
	686	3.87733e+06	13836.2
	687	3.89745e+06	13837.5
	688	3.91786e+06	13839.5
	689	3.93854e+06	13842
	690	3.95948e+06	13845.2
	691	3.98069e+06	13849
	692	4.00214e+06	13853.4
	693	4.02383e+06	13858.5
	694	4.04576e+06	13864.2
	695	4.0679e+06	13870.5
	696	4.09025e+06	13877.4
	697	4.11281e+06	13885
	698	4.13555e+06	13893.2
	699	4.15847e+06	13902
	700	4.18156e+06	13911.5
	701	4.2048e+06	13921.6
	702	4.22819e+06	13932.4
	703	4.2517e+06	13943.8
	704	4.27534e+06	13955.8
	705	4.29908e+06	13968.5
	706	4.32291e+06	13981.8
	707	4.34682e+06	13995.7
	708	4.3708e+06	14010.3
	709	4.39483e+06	14025.5
	710	4.4189e+06	14041.4
	711	4.44299e+06	14057.8
	712	4.4671e+06	14075
	713	4.4912e+06	14092.7
	714	4.51529e+06	14111
	715	4.53934e+06	14130
	716	4.56335e+06	14149.6
	717	4.5873e+06	14169.8
	718	4.61118e+06	14190.5
	719	4.63497e+06	14211.9
	720	4.65866e+06	14233.9
	721	4.68223e+06	14256.5
	722	4.70568e+06	14279.6
	723	4.72898e+06	14303.3
	724	4.75213e+06	14327.6
	725	4.77511e+06	14352.4
	726	4.7979e+06	14377.8
	727	4.8205e+06	14403.8
	728	4.84289e+06	14430.2
	729	4.86506e+06	14457.2
	730	4.887e+06	14484.7
	731	4.95207e+06	10186.6
	732	5.01671e+06	10235.3
	733	5.08084e+06	10285.4
	734	5.14439e+06	10336.9
	735	5.2073e+06	10389.7
	736	5.26951e+06	10443.9
	737	5.33094e+06	10499.5
	738	5.39153e+06	10556.5
	739	5.45124e+06	10614.8
	740	5.51e+06	10674.4
	741	5.56777e+06	10735.4
	742	5.62448e+06	10797.7
	743	5.68009e+06	10861.3
	744	5.73457e+06	10926.1
	745	5.78786e+06	10992.2
	746	5.83993e+06	11059.6
	747	5.89075e+06	11128.1
	748	5.94027e+06	11197.9
	749	5.98849e+06	11268.8
	750	6.03536e+06	11340.9
	751	6.08086e+06	11414.1
	752	6.12498e+06	11488.4
	753	6.16771e+06	11563.7
	754	6.20902e+06	11640.1
	755	6.2489e+06	11717.5
	756	6.28736e+06	11795.9
	757	6.32438e+06	11875.2
	758	6.35996e+06	11955.4
	759	6.3941e+06	12036.5
	760	6.4268e+06	12118.4
	761	6.45807e+06	12201.1
	762	6.48792e+06	12284.6
	763	6.51635e+06	12368.9
	764	6.54337e+06	12453.8
	765	6.569e+06	12539.4
	766	6.59325e+06	12625.6
	767	6.61613e+06	12712.4
	768	6.63767e+06	12799.7
	769	6.65787e+06	12887.5
	770	6.67676e+06	12975.8
	771	6.69435e+06	13064.5
	772	6.71068e+06	13153.6
	773	6.72575e+06	13243
	774	6.7396e+06	13332.8
	775	6.75223e+06	13422.7
	776	6.76369e+06	13512.9
	777	6.77399e+06	13603.3
	778	6.78315e+06	13693.8
	779	6.7912e+06	13784.5
	780	6.79817e+06	13875.1
	781	6.80407e+06	13965.8
	782	6.80894e+06	14056.5
	783	6.8128e+06	14147.1
	784	6.81567e+06	14237.5
	785	6.81758e+06	14327.9
	786	6.81855e+06	14418.1
	787	6.81861e+06	14508
	788	6.81778e+06	14597.7
	789	6.81609e+06	14687
	790	6.81355e+06	14776.1
	791	6.8102e+06	14864.8
	792	6.80605e+06	14953
	793	6.80113e+06	15040.9
	794	6.79546e+06	15128.2
	795	6.78907e+06	15215
	796	6.78197e+06	15301.3
	797	6.77419e+06	15387
	798	6.76575e+06	15472.1
	799	6.75666e+06	15556.5
	800	6.74696e+06	15640.3
	801	6.73665e+06	15723.4
	802	6.72577e+06	15805.7
	803	6.71432e+06	15887.2
	804	6.70232e+06	15968
	805	6.6898e+06	16047.9
	806	6.67678e+06	16127
	807	6.66326e+06	16205.2
	808	6.64927e+06	16282.6
	809	6.63483e+06	16359
	810	6.61995e+06	16434.4
	811	6.60464e+06	16508.9
	812	6.58893e+06	16582.4
	813	6.57282e+06	16654.9
	814	6.55633e+06	16726.3
	815	6.53949e+06	16796.7
	816	6.52229e+06	16866
	817	6.50476e+06	16934.3
	818	6.4869e+06	17001.4
	819	6.46874e+06	17067.5
	820	6.45028e+06	17132.4
	821	6.43154e+06	17196.1
	822	6.41252e+06	17258.7
	823	6.39325e+06	17320.1
	824	6.37373e+06	17380.4
	825	6.35397e+06	17439.4
	826	6.33399e+06	17497.3
	827	6.31379e+06	17553.9
	828	6.29339e+06	17609.3
	829	6.27279e+06	17663.5
	830	6.25201e+06	17716.5
	831	6.23106e+06	17768.2
	832	6.20993e+06	17818.7
	833	6.18866e+06	17867.9
	834	6.16723e+06	17915.9
	835	6.14567e+06	17962.6
	836	6.12397e+06	18008.1
	837	6.10216e+06	18052.3
	838	6.08023e+06	18095.2
	839	6.05819e+06	18136.9
	840	6.03605e+06	18177.4
	841	6.01382e+06	18216.6
	842	5.99151e+06	18254.5
	843	5.96912e+06	18291.2
	844	5.94666e+06	18326.7
	845	5.92413e+06	18360.9
	846	5.90155e+06	18393.8
	847	5.87892e+06	18425.6
	848	5.85624e+06	18456.1
	849	5.83352e+06	18485.3
	850	5.81076e+06	18513.4
	851	5.78798e+06	18540.3
	852	5.76518e+06	18565.9
	853	5.74236e+06	18590.4
	854	5.71952e+06	18613.7
	855	5.69668e+06	18635.8
	856	5.67383e+06	18656.7
	857	5.65099e+06	18676.5
	858	5.62815e+06	18695.1
	859	5.60532e+06	18712.6
	860	5.58251e+06	18729
	861	5.55972e+06	18744.2
	862	5.53695e+06	18758.3
	863	5.51421e+06	18771.4
	864	5.4915e+06	18783.3
	865	5.46882e+06	18794.2
	866	5.44618e+06	18804.1
	867	5.42358e+06	18812.8
	868	5.40103e+06	18820.6
	869	5.37853e+06	18827.3
	870	5.35607e+06	18833
	871	5.33368e+06	18837.7
	872	5.31134e+06	18841.5
	873	5.28905e+06	18844.2
	874	5.26684e+06	18846
	875	5.24469e+06	18846.9
	876	5.2226e+06	18846.8
	877	5.20059e+06	18845.8
	878	5.17865e+06	18844
	879	5.15678e+06	18841.2
	880	5.135e+06	18837.5
	881	5.11329e+06	18833
	882	5.09167e+06	18827.7
	883	5.07013e+06	18821.5
	884	5.04867e+06	18814.5
	885	5.02731e+06	18806.6
	886	5.00603e+06	18798
	887	4.98485e+06	18788.6
